Ano;Mês;CLIENTE;RECEITA;PESO;Classificação
2020;junho;Clinte 75;R$ 200;106;FRACIONADO
2020;julho;Clinte 75;R$ 938;350;FRACIONADO
2020;agosto;Clinte 75;R$ 752;286;FRACIONADO
2020;setembro;Clinte 75;R$ 644;281;FRACIONADO
2020;outubro;Clinte 75;R$ 702;265;FRACIONADO
2020;novembro;Clinte 75;R$ 772;618;FRACIONADO
2020;dezembro;Clinte 75;R$ 599;444;FRACIONADO
2021;janeiro;Clinte 75;R$ 616;262;FRACIONADO
2021;fevereiro;Clinte 75;R$ 325;142;FRACIONADO
2021;março;Clinte 75;R$ 484;166;FRACIONADO
2020;janeiro;Clinte 76;R$ 234;30;FRACIONADO
2020;fevereiro;Clinte 76;R$ 499;87;FRACIONADO
2020;março;Clinte 76;R$ 134;45;FRACIONADO
2020;abril;Clinte 76;R$ 366;62;FRACIONADO
2020;maio;Clinte 76;R$ 584;192;FRACIONADO
2020;junho;Clinte 76;R$ 199;46;FRACIONADO
2020;julho;Clinte 76;R$ 149;23;FRACIONADO
2020;agosto;Clinte 76;R$ 49;20;FRACIONADO
2020;setembro;Clinte 76;R$ 298;140;FRACIONADO
2020;outubro;Clinte 76;R$ 110;40;FRACIONADO
2020;novembro;Clinte 76;R$ 247;101;FRACIONADO
2020;dezembro;Clinte 76;R$ 350;85;FRACIONADO
2021;janeiro;Clinte 76;R$ 346;52;FRACIONADO
2021;fevereiro;Clinte 76;R$ 326;76;FRACIONADO
2021;março;Clinte 76;R$ 270;31;FRACIONADO
2020;janeiro;Clinte 77;R$ 224;112;FRACIONADO
2020;fevereiro;Clinte 77;R$ 38;10;FRACIONADO
2020;março;Clinte 77;R$ 38;30;FRACIONADO
2020;abril;Clinte 77;R$ 42;52;FRACIONADO
2020;julho;Clinte 77;R$ 61;122;FRACIONADO
2021;janeiro;Clinte 77;R$ 38;7;FRACIONADO
2021;março;Clinte 77;R$ 38;30;FRACIONADO
2020;fevereiro;Clinte 78;R$ 44;1;FRACIONADO
2020;novembro;Clinte 79;R$ 91;10;FRACIONADO
2020;junho;Clinte 80;R$ 195;36;FRACIONADO
2020;julho;Clinte 80;R$ 190;31;FRACIONADO
2020;agosto;Clinte 80;R$ 289;66;FRACIONADO
2020;setembro;Clinte 80;R$ 336;103;FRACIONADO
2020;outubro;Clinte 80;R$ 536;256;FRACIONADO
2020;novembro;Clinte 80;R$ 532;305;FRACIONADO
2020;dezembro;Clinte 80;R$ 401;132;FRACIONADO
2021;janeiro;Clinte 80;R$ 609;142;FRACIONADO
2021;fevereiro;Clinte 80;R$ 480;129;FRACIONADO
2021;março;Clinte 80;R$ 305;108;FRACIONADO
2020;setembro;Clinte 81;R$ 46;5;FRACIONADO
2020;outubro;Clinte 81;R$ 58;5;FRACIONADO
2020;fevereiro;Clinte 82;R$ 128;201;FRACIONADO
2020;junho;Clinte 82;R$ 61;10;FRACIONADO
2020;agosto;Clinte 83;R$ 138;10;FRACIONADO
2020;novembro;Clinte 84;R$ 82;5;FRACIONADO
2020;novembro;Clinte 85;R$ 82;5;FRACIONADO
2020;setembro;Clinte 86;R$ 51;51;FRACIONADO
2020;outubro;Clinte 87;R$ 143;40;FRACIONADO
2020;janeiro;Clinte 88;R$ 41;8;FRACIONADO
2020;março;Clinte 88;R$ 40;8;FRACIONADO
2020;maio;Clinte 88;R$ 47;32;FRACIONADO
2020;julho;Clinte 88;R$ 43;25;FRACIONADO
2020;agosto;Clinte 88;R$ 40;2;FRACIONADO
2020;fevereiro;Clinte 89;R$ 47;60;FRACIONADO
2020;maio;Clinte 89;R$ 172;76;FRACIONADO
